Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2009-2010,New Orleans Hornets 2010,44,82,100.2,38.8,83.4,46.4,7,19.2,36.3,15.8,20.3,77.8,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6,,,,,,
2009-2010,Sacramento Kings 2010,25,82,100,38.3,84.1,45.6,5.9,16.9,34.9,17.4,24,72.6,11.9,30.7,42.6,20.5,6.9,4.5,15,22.3,,,,,,
2009-2010,Boston Celtics 2010,50,82,99.2,37.1,76.8,48.3,6.1,17.5,34.8,19,25.5,74.6,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,,,,,,
2009-2010,Minnesota Timberwolves 2010,15,82,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7,,,,,,
2009-2010,Portland Trail Blazers 2010,50,82,98.1,36.3,78.7,46.1,6,16.9,35.4,19.6,24.8,79,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9,,,,,,
2009-2010,Philadelphia 76ers 2010,27,82,97.7,37.6,81.8,46,5.8,16.8,34.3,16.7,22,75.6,11.5,29.5,41,21,8.1,5.4,14.5,20.5,,,,,,
2009-2010,Milwaukee Bucks 2010,46,82,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43,21.2,7.1,4.7,13.2,22.2,,,,,,
2009-2010,Chicago Bulls 2010,41,82,97.5,37.6,83.2,45.1,4.3,13,33,18,23.9,75.4,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,,,,,,
2009-2010,Miami Heat 2010,47,82,96.5,36.4,79.5,45.8,6,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,,,,,,
2009-2010,Washington Wizards 2010,26,82,96.2,36.7,81.7,44.9,5.3,14.9,35.3,17.6,23.1,76.2,11.8,30,41.8,19,6,5.1,14.9,21.4,,,,,,
2009-2010,LA Clippers 2010,29,82,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3,,,,,,
2009-2010,Charlottte Bobcats 2010,37,82,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20,26.6,75.1,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,,,,,,
2009-2010,Detroit Pistons 2010,27,82,94,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2,,,,,,
2009-2010,New Jersey Nets 2010,12,82,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78,10.9,28.8,39.7,18.8,7,4.8,14.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
